VariableName,VariableValue
Species human
MeanTraitOne 1.0
MeanTraitTwo 0.0
PhenotypicVarianceTraitOne 0.0
PhenotypicVarianceTraitTwo 0.0
Heritability 0.0
OptimumTraitOne 0.0
OptimumTraitTwo 0.0
VarianceTraitOne 0.0
VarianceTraitTwo 0.0
AttenuationCoefficient 0.0
MeanInterceptReactionNorm 0.0
MeanSlopeReactionNorm 0.0
PhenotypicVarianceInterceptReactionNorm 0.0
PhenotypicVarianceSlopeReactionNorm 0.0
NumberIterations 0.0
SimulatedPopulationSize 0.0
DoesInitial 0.0
MeanPreference 0.0
PhenotypicVariancePreference 0.0
Transmittance 0.0
SlopeConcentration 0.0
